page_number,line_number,event_number,event_name,athlete_name,age,club_name,rank_position,seed_time_text,result_time_text,result_time_ms,status,raw_line
2,16,2,men 40-44 200 LC Meter individual_medley,"Garzon, Jean",41,Master Providencia,6,"3:00,00","3:18,52",198520,valid,"6 Garzon, Jean 41 Master Providencia 3:00,00 3:18,52"
2,18,2,men 45-49 200 LC Meter individual_medley,"Garcia, Alexis",48,Penñalolen Master,1,"3:00,00","3:03,73",183730,valid,"1 Garcia, Alexis 48 Penñalolen Master 3:00,00 3:03,73"
2,19,2,men 45-49 200 LC Meter individual_medley,"Cerrada, Yorggyn",47,Natacion Master Recoleta,2,"3:25,00","3:29,27",209270,valid,"2 Cerrada, Yorggyn 47 Natacion Master Recoleta 3:25,00 3:29,27"
2,20,2,men 45-49 200 LC Meter individual_medley,"Parada, Oscar",48,Nunoa Master,3,"3:58,42","4:04,89",244890,valid,"3 Parada, Oscar 48 Nunoa Master 3:58,42 4:04,89"
2,22,2,men 50-54 200 LC Meter individual_medley,"Gutierrez Oliveros, Luis",52,Club Deportivo UC,1,"3:10,43","3:10,33",190330,valid,"1 Gutierrez Oliveros, Luis 52 Club Deportivo UC 3:10,43 3:10,33"
2,23,2,men 50-54 200 LC Meter individual_medley,"Matulic L, Wladimir",53,Club Deportivo UC,2,"3:25,38","3:20,98",200980,valid,"2 Matulic L, Wladimir 53 Club Deportivo UC 3:25,38 3:20,98"
2,24,2,men 50-54 200 LC Meter individual_medley,"Sevil, Angel",54,Penñalolen Master,3,"3:40,00","3:30,56",210560,valid,"3 Sevil, Angel 54 Penñalolen Master 3:40,00 3:30,56"
2,25,2,men 50-54 200 LC Meter individual_medley,"Medina, Carlos",53,Master Providencia,4,"7:30,00","6:26,19",386190,valid,"4 Medina, Carlos 53 Master Providencia 7:30,00 6:26,19"
2,27,2,men 55-59 200 LC Meter individual_medley,"Briones, Eduardo",57,Master Providencia,1,"2:55,00","2:55,10",175100,valid,"1 Briones, Eduardo 57 Master Providencia 2:55,00 2:55,10"
2,28,2,men 55-59 200 LC Meter individual_medley,"Montes, Eduardo",56,Master Providencia,2,"4:15,00","4:15,75",255750,valid,"2 Montes, Eduardo 56 Master Providencia 4:15,00 4:15,75"
2,29,2,men 55-59 200 LC Meter individual_medley,"Velazquez, Orlando",56,Aquaclub Maipu,3,"5:41,74","6:09,57",369570,valid,"3 Velazquez, Orlando 56 Aquaclub Maipu 5:41,74 6:09,57"
2,31,2,men 60-64 200 LC Meter individual_medley,"Jimenez, Andres",61,Natacion Master Buin,1,"3:47,00","3:51,73",231730,valid,"1 Jimenez, Andres 61 Natacion Master Buin 3:47,00 3:51,73"
2,32,2,men 60-64 200 LC Meter individual_medley,"Aguirre, Jose Ignacio",64,Penñalolen Master,2,"4:10,00","4:19,69",259690,valid,"2 Aguirre, Jose Ignacio 64 Penñalolen Master 4:10,00 4:19,69"
2,33,2,men 60-64 200 LC Meter individual_medley,"Vargas, Jose Luis",60,Golden,3,"4:59,27","5:06,19",306190,valid,"3 Vargas, Jose Luis 60 Golden 4:59,27 5:06,19"
2,35,3,women 19 & Under 50 LC Meter butterfly,"Chertcoff, Victoria",18,Agua Plena San Rafael,1,"40,00","41,38",41380,valid,"1 Chertcoff, Victoria 18 Agua Plena San Rafael 40,00 41,38"
2,37,3,women 20-24 50 LC Meter butterfly,"Guinñazu, Selene",21,Aquaclub Maipu,1,"45,05","45,64",45640,valid,"1 Guinñazu, Selene 21 Aquaclub Maipu 45,05 45,64"
2,38,3,women 20-24 50 LC Meter butterfly,"Avila, Sofia",21,Orinoco Swim,2,"48,99","48,86",48860,valid,"2 Avila, Sofia 21 Orinoco Swim 48,99 48,86"
2,40,3,women 25-29 50 LC Meter butterfly,"Dave, Gisela",28,Aquaclub Maipu,1,"36,13","35,93",35930,valid,"1 Dave, Gisela 28 Aquaclub Maipu 36,13 35,93"
2,41,3,women 25-29 50 LC Meter butterfly,"Mellado, Ana Laura",25,Aquaclub Maipu,2,"36,77","36,07",36070,valid,"2 Mellado, Ana Laura 25 Aquaclub Maipu 36,77 36,07"
2,42,3,women 25-29 50 LC Meter butterfly,"Ubilla, Catalina",29,Penñalolen Master,3,"37,00","38,68",38680,valid,"3 Ubilla, Catalina 29 Penñalolen Master 37,00 38,68"
2,43,3,women 25-29 50 LC Meter butterfly,"Araya, Sofia",27,100 por Ciento Swim,4,"44,00","44,04",44040,valid,"4 Araya, Sofia 27 100 por Ciento Swim 44,00 44,04"
2,44,3,women 25-29 50 LC Meter butterfly,"Tapia, Maria Jesus",25,Natacion Master Recoleta,5,"54,01","53,97",53970,valid,"5 Tapia, Maria Jesus 25 Natacion Master Recoleta 54,01 53,97"
2,45,3,women 25-29 50 LC Meter butterfly,"Farias, Thiare",27,Pedro Aguirre Cerda,6,"1:20,00","54,18",54180,valid,"6 Farias, Thiare 27 Pedro Aguirre Cerda 1:20,00 54,18"
2,46,3,women 25-29 50 LC Meter butterfly,"Carter, Daniela",28,Penñalolen Master,7,"57,00","54,40",54400,valid,"7 Carter, Daniela 28 Penñalolen Master 57,00 54,40"
2,48,3,women 30-34 50 LC Meter butterfly,"Lopez, Diane",30,Pedro Aguirre Cerda,1,"39,00","42,23",42230,valid,"1 Lopez, Diane 30 Pedro Aguirre Cerda 39,00 42,23"
2,49,3,women 30-34 50 LC Meter butterfly,"Ramirez, Carolina Isabel",33,Club Deportivo UC,2,"1:00,00","47,83",47830,valid,"2 Ramirez, Carolina Isabel 33 Club Deportivo UC 1:00,00 47,83"
2,50,3,women 30-34 50 LC Meter butterfly,"Sanchez, Johana",31,Aquaclub Maipu,3,"49,09","51,08",51080,valid,"3 Sanchez, Johana 31 Aquaclub Maipu 49,09 51,08"
3,5,3,women 30-34 50 LC Meter butterfly,"Herrera Rojas, Gema",34,Penñalolen Master,4,"52,00","51,52",51520,valid,"4 Herrera Rojas, Gema 34 Penñalolen Master 52,00 51,52"
3,6,3,women 30-34 50 LC Meter butterfly,"Largi, Stephanie",34,Orinoco Swim,5,"54,00","55,81",55810,valid,"5 Largi, Stephanie 34 Orinoco Swim 54,00 55,81"
3,8,3,women 35-39 50 LC Meter butterfly,"Vacher, Francisca",35,Golden,1,"36,34","37,33",37330,valid,"1 Vacher, Francisca 35 Golden 36,34 37,33"
3,9,3,women 35-39 50 LC Meter butterfly,"Godoy, Ana",37,Nunoa Master,2,"39,88","39,85",39850,valid,"2 Godoy, Ana 37 Nunoa Master 39,88 39,85"
3,10,3,women 35-39 50 LC Meter butterfly,"Nahuelpan, Nicole",36,100 por Ciento Swim,3,NT,"1:05,98",65980,valid,"3 Nahuelpan, Nicole 36 100 por Ciento Swim NT 1:05,98"
3,12,3,women 40-44 50 LC Meter butterfly,"Penña, Daniela",40,Orinoco Swim,1,"40,00","40,06",40060,valid,"1 Penña, Daniela 40 Orinoco Swim 40,00 40,06"
3,13,3,women 40-44 50 LC Meter butterfly,"Rodriguez, Diana",41,Nunoa Master,2,"50,00","43,08",43080,valid,"2 Rodriguez, Diana 41 Nunoa Master 50,00 43,08"
3,14,3,women 40-44 50 LC Meter butterfly,"Mangiameli, Georgina",41,Nunoa Master,3,"47,00","45,41",45410,valid,"3 Mangiameli, Georgina 41 Nunoa Master 47,00 45,41"
